,% of workforce,,,,,,,,,,change from 2015,,,,,,,,,,notes,,,,,sources,,,,,extra data
Company,Female %,Male %,% White,% Asian,% Latino,% Black,% Multi,% Other,% Undeclared,,male % ,female % ,white % ,Asian % ,Latino % change,Black % change,Two+ races % ,Other % change ,Undeclared % change ,,global or US?,data date,Note - data don't always sum because of rounding,Data for parent company - if no data ,,Source,Link,Link,Link,,Employees
U.S. Population,51,49,64%,4%,16%,12%,1%,3%,,,,,,,,,,,,,,,,,,"Prison Bars, CIA World Factbook, UNFPA",https://www.cia.gov/library/publications/the-world-factbook/geos/us.html,https://www.unfpa.org/gender/docs/Sex_Ratio_by_Country_in_2013.pdf,,,"320,051,000.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social media sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,33,67,53,38,4,2,3,0,,,-1,1,-2,2,0,0,0,0,,,global,,,,,Facebook,https://newsroom.fb.com/news/2015/06/driving-diversity-at-facebook/,https://www.theguardian.com/technology/2016/jul/14/facebook-diversity-report-silicon-valley-employment,http://newsroom.fb.com/company-info/,,"10,082.00"
Instagram,31,69,57,34,4,2,3,0,,,,,,,,,,,,,global,,,Facebook,,Facebook,http://newsroom.fb.com/news/2014/06/building-a-more-diverse-facebook/,,http://www.businessinsider.com/facebooks-biggest-threat-instagram-just-increased-its-workforce-by-125-2012-3,,9.00
Google+,30,70,60,31,3,2,3,<1,,,0,0,-1,1,0,0,-1,0,,,global,,,Google,,Google,https://plus.google.com/+google/posts/1VbnjxYQ5dv?pid=6155519933294674402&oid=116899029375914044550,,,,-
YouTube,30,70,61,30,3,2,4,<1,,,,,,,,,,,,,global,,,Google,,Google,http://www.google.com/diversity/at-google.html#tab=overall,,,,-
LinkedIn,42,58,56,37,4,2,1,<1,,,-3,3,3,-1,0,0,-1,-1,,,global,,,,,LinkedIn,http://www.slideshare.net/linkedin/linked-in-2015-workforce-diversity,,http://graphics.wsj.com/diversity-in-tech-companies/,,"7,600.00"
Pinterest,40,60,50,42,2,1,-,5,,,,,,,,,,,,,global,,,,,Pinterest,http://engineering.pinterest.com/post/92753543099/diversity-and-inclusion-at-pinterest,,https://about.pinterest.com/en/press,,300.00
Tumblr,37,62,50,39,4,2,2,2,1,,,,,,,,,,,,global,,,Yahoo!,,Yahoo!,http://yahoo.tumblr.com/post/89085398949/workforce-diversity-at-yahoo,,https://www.tumblr.com/about,,298.00
Flickr,37,62,50,39,4,2,2,2,1,,,,,,,,,,,,global,,,Yahoo!,,Yahoo!,http://yahoo.tumblr.com/post/89085398949/workforce-diversity-at-yahoo,,,,-
Twitter,34,56,59,29,3,2,3,4,,,,,,,,,,,,,global,,,,,Twitter,https://blog.twitter.com/2014/building-a-twitter-we-can-be-proud-of,,https://blog.twitter.com/en_us/topics/company/2017/building-a-more-inclusive-twitter-in-2016.html,,"3,600.00"
Secret,50,50,72,17,-,-,11,-,,,,,,,,,,,,,unclear,,,,,David Byttow (co-founder of Secret),https://twitter.com/davidbyttow/status/492105892418957312,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tech companies ,,,,,,,,,,,,,,,,,,,,,,,,,,Gigaom,https://gigaom.com/2014/08/21/eight-charts-that-put-tech-companies-diversity-stats-into-perspective/,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yahoo!,37,62,47,43,4,2,2,3,,,0,0,-3,4,0,0,0,1,,,global,,,,,Yahoo!,http://yahoo.tumblr.com/post/89085398949/workforce-diversity-at-yahoo,https://yahoo.tumblr.com/post/123472998984/please-see-here-for-our-eeo-1-report,https://investor.yahoo.net/faq.cfm,,"12,300.00"
Google,31,69,59,32,3,2,3,<1,,,-1,1,-1,1,0,0,-1,0,,,global,,,,,Google,http://www.google.co.uk/diversity/,,http://investor.google.com/earnings/2015/Q1_google_earnings.html,,"55,419.00"
Apple,32,68,56,19,12,9,2,1,2,,-1,1,2,1,1,1,0,0,-4,,global,,,,,Apple,http://www.apple.com/diversity/,,https://www.apple.com/about/job-creation/,,"80,000.00"
Apple (excluding undeclared),30,70,62,21,13,10,2,1,,,,,,,,,,,,,global,,,,,Apple,http://www.apple.com/diversity/,,,,-
Cisco,23,77,54,-,-,-,-,-,,,,,,,,,,,,,global,,,,,"Cisco, page D13",http://www.cisco.com/assets/csr/pdf/CSR_Report_2013.pdf,,http://www.macroaxis.com/invest/ratio/CSCO--Number-of-Employees,,"78,000.00"
eBay,43,57,60,25,5,8,1,1,,,-1,1,-1,1,0,1,0,0,,,global,,,,,eBay,https://separation.ebayinc.com/2015/04/building-diverse-ebay-paypal/,http://blog.ebay.com/wp-content/uploads/2014/07/eBay-Data-Diversity.jpg,http://graphics.wsj.com/diversity-in-tech-companies/,,"34,600.00"
HP,33,67,72,6,14,7,1,<1,,,,,,,,,,,,,global,,,,,HP,http://h20195.www2.hp.com/V2/GetPDF.aspx/c03742922.pdf,,http://www.statista.com/statistics/264922/number-of-employees-at-hewlett-packard-since-2001/,,"317,500.00"
Indiegogo,45,55,64,23,8,2,-,3,,,,,,,,,,,,,unclear,,,,,Indiegogo,http://go.indiegogo.com/blog/2014/08/diversity-matters-always.html,,http://fortune.com/2014/08/21/indiegogo-gender-diversity-data/,,100.00
Nvidia,16,84,38,44,3,1,14,<1,,,,,,,,,,,,,global,,,,,Nvidia,http://www.nvidia.com/object/fy14-gcr-workforce-performance.html,,http://www.macroaxis.com/invest/ratio/NVDA--Number-of-Employees,,"8,800.00"
Dell,30,70,69,9,11,10,-,1,,,,,,,,,,,,,US,,,,,CNNMoney,http://money.cnn.com/interactive/technology/tech-diversity-data/,,http://www.statista.com/statistics/264917/number-of-employees-at-dell-since-1996/,,"111,300.00"
Ingram Micro,42,58,63,11,16,10,-,0,,,,,,,,,,,,,US,,,,,CNNMoney,http://money.cnn.com/interactive/technology/tech-diversity-data/,,http://www.ingrammicro.com.cn/careers/findpage.cfm?tempid=india&pageid=3365,,"1,200.00"
Intel,25,75,61,26,9,4,-,1,,,,,,,,,,,,,US,,,,,CNNMoney,http://money.cnn.com/interactive/technology/tech-diversity-data/,,http://www.intc.com/intel%2Dannual%2Dreport/2013/10K/10-employees.html,,"107,600.00"
Groupon,47,53,71,15,5,4,-,4,,,,,,,,,,,,,global,,,,,Groupon,https://www.groupon.com/blog/cities/groupon-releases-diversity-data,,http://investor.groupon.com/faq.cfm,,"10,000.00"
Amazon,37,63,60,13,9,15,-,3,,,,,,,,,,,,,global,,,,,Amazon,http://www.amazon.com/b/ref=tb_surl_diversity/?node=10080092011,,,,"88,400.00"
Etsy ,51,49,79,11,4,3,3,,,,,,,,,,,,,,global,,,,,Etsy,https://blog.etsy.com/news/2014/diversity-at-etsy-more-than-just-numbers/,,,,
Microsoft,28,72,59,29,5,4,1,1,,,-1,1,-3,0,0,0,0,,,,global,,,,,Microsoft,http://www.microsoft.com/en-us/diversity/inside-microsoft/default.aspx#fbid=ZWJBwYZJM6G?epgDivFocusArea,,http://graphics.wsj.com/diversity-in-tech-companies/,,"128,000.00"
Salesforce,29,71,67,22,4,2,2,3,,,,,,,,,,,,,global,,,,,Salesforce,http://www.salesforce.com/company/careers/diversity-numbers.jsp,,,,
Pandora,49,51,71,12,7,3,6,1,,,,,,,,,,,,,global,,,,,Pandora,http://www.pandora.com/careers/#diversity,,,,
Uber,36,64,50,31,6,9,4,1,,,,,,,,,,,,,global,,,,,Uber,https://www.uber.com/diversity/,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
average from our sample,35,64,60,26,6,4,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average in DiversityInc top 50 companies,54,46,68,10,10,12,no data,no data,,,,,,,,,,,,,,,,,,,http://www.diversityinc.com/news/apples-diversity-data-better-representation-blacks-latinos/,,,,
Fortune 500 CEOs,4.8,95,83*,1.8,2,1.2,no data,no data,,,,,,,,,,,,,US,,,,,,,,http://www.diversityinc.com/diversity-facts/wheres-the-diversity-in-fortune-500-ceos/,,
Kaiser Permanente,76,24,48*,20,18,13,no data,no data,,,,,,,,,,,,,unclear,,,,,,,,http://www.diversityinc.com/top-10-companies-recruitment/,,
US Congress,19,81,80*,5.6,6,8,no data,no data,,,,,,,,,,,,,US,,,,,,http://www.diversityinc.com/diversity-and-inclusion/most-diverse-congress-sworn-in/,,,,
Venture Capitalists,11,89,87,9,2,2,2,no data,,,,,,,,,,,,,US,,,,,,http://www.diversityinc.com/diversity-recruitment/where%E2%80%99s-the-diversity-in-the-venture-capital-industry/,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* = estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,