,2017 % of total workforce,,,,Notes,,,,sources,,,
Company,Female %,Male %,Female % Leadership,Male % Leadership,data date,In most cases gender data are global while ethnicity data are US only. Note - data don't always sum because of rounding.,Data for parent company - if no data ,,Source,Link,Link,Link
U.S. Population,51,49,,,18-Jan,,,,US Census Bureau,https://www.census.gov/quickfacts/fact/table/US/PST045217,,
,,,,,,,,,,,,
Social media sites,,,,,,,,,,,,
Facebook,35,65,,,17-Aug,,,,Facebook,https://fbnewsroomus.files.wordpress.com/2017/08/fb_diversity_2017_final.pdf,,
Instagram,35,65,,,17-Aug,,,,Facebook,https://fbnewsroomus.files.wordpress.com/2017/08/fb_diversity_2017_final.pdf,,
Google,31,69,,,17-Jun,,Google,,Fortune,http://fortune.com/2017/06/29/google-2017-diversity-report/,,
YouTube,31,69,,,17-Jun,,Google,,Fortune,http://fortune.com/2017/06/29/google-2017-diversity-report/,,
LinkedIn,42,58,,,17-Nov,Acquired by Microsoft 2016.,Microsoft,,LinkedIn,https://careers.linkedin.com/diversity-and-inclusion,,
Pinterest,45,55,,,17-Dec,,,,TechCrunch,https://techcrunch.com/2017/12/19/pinterest-beat-hiring-goals-for-women-in-engineering-missed-for-underrepresented-minorities/,,
Tumblr,37,63,,,16-Jun,,Yahoo!,,Yahoo,https://yahoo.tumblr.com/post/152561899994/yahoos-2016-diversity-report,,
Flickr,37,63,,,16-Jun,,Yahoo!,,Yahoo,https://yahoo.tumblr.com/post/152561899994/yahoos-2016-diversity-report,,
Twitter,37,63,,,17-Jan,,,,Twitter,https://blog.twitter.com/en_us/topics/company/2017/building-a-more-inclusive-twitter-in-2016.html,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Tech companies ,,,,,,,,,,,,
,,,,,,,,,,,,
Yahoo!,37,63,,,16-Jun,,Yahoo!,,Yahoo,https://yahoo.tumblr.com/post/152561899994/yahoos-2016-diversity-report,,
Google,31,69,,,17-Jun,,,,Fortune,http://fortune.com/2017/06/29/google-2017-diversity-report/,,
Apple,32,68,,,17-Nov,,,,Apple,https://www.apple.com/diversity/,,
Cisco,24,76,,,17-Dec,,,,Cisco,https://www.cisco.com/c/en/us/about/inclusion-diversity/us.html,,
eBay,38,62,,,17-Mar,,,,eBay,https://static.ebayinc.com/static/assets/Uploads/Stories/Articles/eBay2016-DI-Full-Report.pdf,,
HP,37,63,,,17-Mar,"Calculated from EEO-1, as HP only provide % ethnicity data for new hires. ",,,HP,http://h20195.www2.hp.com/V2/GetDocument.aspx?docname=c05507473,http://h20195.www2.hp.com/V2/GetDocument.aspx?docname=c05169505,
Indiegogo,50,50,,,17-Mar,,,,Indiegogo,https://go.indiegogo.com/blog/2017/03/diversity-matters-always-update.html,,
Nvidia,17,83,,,Aug(?) 2017,,,,Nvidia,http://www.nvidia.com/object/fy15-workforce-performance.html,,
Dell,28,72,,,17-Sep,"Latest report only gives numbers for 'people of colour' as a general category, so we have not updated the ethnicity figures. ",,,Dell,http://legacyofgood.dell.com/index.htm,http://legacyofgood.dell.com/content/dam/delltechnologies/assets/microsites/legacyofgood/2017/pdf/fy17-cr-report.pdf,
Ingram Micro,31,69,,,17-Sep,"Ingram Micro has not provided a total overall % of women in its workforce, only a breakdown of women at each level. The figures selected represent middle management. ",,,Ingram Micro,http://corp.ingrammicro.com/CorporateSite/media/Corporate-Website/About%20Us/mh20172100g_2016_corp_soc_resp_report.pdf,,
Intel,26,74,,,17-Aug,,,,Intel,https://www.intel.co.uk/content/www/uk/en/diversity/diversity-at-intel.html,,
Groupon,44,56,,,17-Oct,,,,Groupon,https://www.groupon.com/blog/cities/diversity-at-groupon-2017,,
Amazon,39,61,,,Dec(?) 2017,,,,Amazon,https://www.amazon.com/b?node=10080092011,,
Etsy ,54,46,,,16-Apr,Latest data available is from early 2016. Possibly because Etsy has been undergoing a staff overhaul with massive redundancies. ,,,Etsy,https://blog.etsy.com/news/2016/diversity-and-equality-at-etsy/,,
Microsoft,26,74,,,17-Sep,,,,Microsoft,https://www.microsoft.com/en-us/diversity/inside-microsoft/default.aspx,,
Salesforce,31,69,,,16-Aug,,,,Salesforce,https://www.salesforce.com/company/equality/,,
Pandora,49,51,,,17-Aug,,,,Pandora,https://pandora.com/careers/#diversity,,
Uber,36,64,,,17-Mar,No change recorded as this was first data published. ,,,Uber,https://www.uber.com/about/diversity/,,
,,,,,,,,,,,,
average from our sample,36,64,,,,,,,,,,
,,,,,,,,,,,,
comparison,,,,,,,,,,,,
DiversityInc top 50,44,56,,,2017,Ethnicity data represent those on the boards of directors only. ,,,DiversityInc,http://www.diversityinc.com/2017-top-50-facts-figures/,,
Fortune 500 CEOs,6,94,,,17-Jun,,,,Fortune,http://fortune.com/2017/06/07/fortune-500-women-ceos/,http://fortune.com/2017/06/09/white-men-senior-executives-fortune-500-companies-diversity-data/,
US Congress,20,80,,,17-Jan,,,,"Pew Research, Rutgers",http://www.pewresearch.org/fact-tank/2017/01/24/115th-congress-sets-new-high-for-racial-ethnic-diversity/,http://www.cawp.rutgers.edu/list-women-currently-serving-congress,
,,,,,,,,,,,,
* = estimated,,,,,,,,,,,,
,,,,,,,,,,,,
23andMe,,,,,,,,,23ndMe Media Center,https://mediacenter.23andme.com/company/diversity-snapshot/,,
Intuit,,,,,,,,,Intuit,https://www.intuit.com/company/diversity/,,
Airbnb,,,,,Dec-17,,,,Airbnb,https://www.airbnb.com/diversity/belonging,,
Adobe,,,,,1-Dec-17,,,,Adobe,https://www.adobe.com/diversity.html,,
Lyft,,,,,,,,,,,,