MANAGERIAL & EXECUTIVE,Average,64395.5,
,Property & real estate managers,62452,37856
,Financial managers,78208,51532
,Marketing and sales managers,86320,58604
,Chief executives,110344,76128
,"Management, business, and financial operations occupations",71240,50804
,Management occupations,74204,52936
,General and operations managers,68588,50544
,"Managers, all other",73112,54444
,"Management, professional, and related occupations",65988,48932
,Purchasing managers,71136,53352
,Business and financial operations occupations,63700,48724
,Medical and health services managers,75712,60632
,,,
"SCIENCE, TECH, ENGINEERING",Average,64147.2,
,Biological scientists,61204,44356
,"Physical scientists, all other",77116,60684
,Computer systems analysts,73320,59488
,Computer and mathematical occupations,71188,58552
,Architecture and engineering occupations,69836,59280
,"Computer occupations, all other",60580,51896
,"Software developers, applications and systems software",83512,72176
,"Life, physical, and social science occupations",60112,53976
,Diagnostic related technologists and technicians,54808,50128
,Pharmacists,103896,98696
,Clinical laboratory technologists and technicians,46176,43940
,Computer and information systems managers,82940,80236
,Medical scientists,57304,58604
,Operations research analysts,65416,68952
,Computer support specialists,46592,49452
,,,
CARE & EDUCATION,Average,47020,
,Other teachers and instructors,57460,38428
,Personal care and service occupations,29224,21944
,Training and development specialists,65520,49452
,"Education, training, and library occupations",57668,45188
,Physicians and surgeons,100620,79404
,Social and community service managers,63492,50596
,Physical therapists,79144,63232
,Postsecondary teachers,70616,56836
,"Farming, fishing, and forestry occupations",23140,19292
,Community and social service occupations,47112,40144
,Healthcare practitioners and technical occupations,58708,50180
,Human resources managers,77376,66196
,Emergency medical technicians and paramedics,39364,33748
,Recreation and fitness workers,29900,25688
,Human resources workers,54756,47424
,Social workers,46904,41496
,"Nursing, psychiatric, and home health aides",26104,23192
,Personal care aides,23608,21164
,Elementary and middle school teachers,53144,48516
,Counselors,45448,42016
,Clergy,49972,46228
,Health practitioner support technologists and technicians,35464,32864
,Healthcare support occupations,27092,25116
,Secondary school teachers,54548,51428
,Registered nurses,56212,53768
,Special education teachers,50284,48620
,,,
,,,
,,,
MANUAL & PRODUCTION WORK,Average,29485.93,
,"Natural resources, construction, and maintenance occupations",38480,26780
,Driver/sales workers and truck drivers,37024,26572
,Production occupations,34684,25116
,"Production, transportation, and material moving occupations",33852,25220
,"Electrical, electronics, and electromechanical assemblers",30732,23348
,Computer operators,44356,33852
,Transportation and material moving occupations,32968,25480
,"Production workers, all other",31824,25116
,"Laborers and freight, stock, and material movers, hand",27040,21632
,Building and grounds cleaning and maintenance occupations,26104,21112
,Janitors and building cleaners,26728,21736
,Maids and housekeeping cleaners,24596,20384
,Packaging and filling machine operators and tenders,26260,21892
,Miscellaneous assemblers and fabricators,29432,24908
,Construction and extraction occupations,37336,31824
,Dispatchers,37856,32552
,Laundry and dry-cleaning workers,23244,20072
,Miscellaneous agricultural workers,22204,19240
,Postal service mail carriers,52884,46384
,Postal service clerks,52728,46384
,Bakers,24492,21632
,"Metal workers and plastic workers, all other",30316,26884
,Bus drivers,33540,30108
,Food preparation and serving related occupations,22308,20280
,"Butchers and other meat, poultry, and fish processing workers",26780,24908
,"Installation, maintenance, and repair occupations",41964,39052
,Food preparation workers,20540,19500
,,,
,,,
,,,
,,,
,,,
LAW & JUSTICE,Average,52801.67,
,Legal occupations,91416,52156
,"Bailiffs, correctional officers, and jailers",37544,30472
,Lawyers,97968,84812
,Security guards and gaming surveillance officers,28288,24648
,Paralegals and legal assistants,45968,42276
,Police and sheriff's patrol officers,49296,48776
,,,
ADMIN & ORGANISATIONAL & TECHNICAL,Average,42109.6,
,First-line supervisors of housekeeping and janitorial workers,39312,25376
,Education administrators,79664,55172
,Accountants and auditors,65000,49712
,"Business operations specialists, all other",61620,47216
,Management analysts,78728,61048
,Compliance officers,66508,51740
,"Production, planning, and expediting clerks",47632,37544
,"Office and administrative support workers, all other",41184,33540
,"Office clerks, general",37024,30888
,Secretaries and administrative assistants,39364,33852
,Cashiers,21372,19396
,Office and administrative support occupations,34736,31980
,Receptionists and information clerks,27092,27040
,"Bookkeeping, accounting, and auditing clerks",34008,34112
,Stock clerks and order fillers,25376,26052
,,,
SALES & SERVING OTHERS,Average,38584,
,Personal financial advisors,79820,48932
,"Sales and related workers, all other",51220,32136
,Insurance sales agents,53716,34580
,Real estate brokers and sales agents,51584,35152
,Sales and related occupations,41808,28548
,"Securities, commodities, and financial services sales agents",65988,45968
,"Claims adjusters, appraisers, examiners, and investigators",56004,41808
,Retail salespersons,32240,24232
,Protective service occupations,41444,31304
,Service occupations,28652,22516
,First-line supervisors of retail sales workers,39468,31148
,"Sales representatives, services, all other",49556,39364
,Advertising sales agents,49972,40144
,Sales and office occupations,38376,31304
,Food service managers,38168,31148
,Waiters and waitresses,24232,20228
,Chefs and head cooks,31252,26104
,"Purchasing agents, except wholesale, retail, and farm products",58708,49140
,Bartenders,30836,26260
,Cooks,21112,18876
,Customer service representatives,32656,29588
,"Wholesale and retail buyers, except farm products",48256,44148
,,,
CREATIVE & MEDIA,Average,47987.33,
,Designers,54340,42432
,"Arts, design, entertainment, sports, and media occupations",51740,44512
,Editors,48516,46384