Company,Female,Male,FemaleLeadership,MaleLeadership
Etsy,53.9,46.1,50,50
23andMe,51.2,48.8,49,51
Pinterest,45,55,19,81
Groupon,44.4,55.6,30.6,69.4
LinkedIn,42,58,38,62
Lyft,42,58,36,64
Airbnb,41.15,58.85,29.63,70.37
Amazon,39,61,25,75
Intuit,39,61,32,68
Twitter,38.4,61.6,32.5,67.5
eBay,38,62,32,68
Uber,38,62,20.9,79.1
HP,37.2,62.8,28,72
Tumblr,37,63,22,78
Yahoo!,37,63,22,78
Facebook,35,65,28,72
Apple,32,68,29,71
Google,31,69,25,75
Adobe,31,69,23,77
Salesforce,30.9,68.7,20.9,78.9
Dell,28,72,23,77
Intel,26.1,73.9,19.8,80.2
Microsoft,25.9,74.1,19.1,80.9
Cisco,24,76,19,81
Nvidia,17,83,13,87